metier,identifiant,competences,savoir-etre
Administrateur systèmes et réseaux informatique,147KGDB,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,147JSZH,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,147JLZB,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,147JGDP,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,147GLGR,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,147DZNF,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,147CVBJ,"Actualiser les systèmes d'information en fonction des évolutions. Administrer un Système d'Information (SI). Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques. Système d'exploitation Windows",Réactivité. Capacité de décision. Rigueur
Administrateur systèmes et réseaux informatique,147CDYF,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,147BQQN,,Réactivité. Autonomie. Rigueur
Administrateur systèmes et réseaux informatique,146YXQP,,
Administrateur systèmes et réseaux informatique,146XYCT,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",Force de proposition. Capacité à fédérer. Autonomie
Administrateur systèmes et réseaux informatique,146WBHS,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",Curiosité. Sens de l'organisation. Rigueur
Administrateur systèmes et réseaux informatique,146VYWS,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",Curiosité. Sens de l'organisation. Rigueur
Administrateur systèmes et réseaux informatique,146RFGQ,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,146PZRJ,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,146PZRG,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,146PZRF,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
Administrateur systèmes et réseaux informatique,146PZQY,"Actualiser les systèmes d'information en fonction des évolutions. Améliorer un système d'information. Analyser les performances d'un système d'information. Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives. Mettre en place les procédures techniques d'exploitation, d'utilisation et de sécurité des équipements informatiques",
